Time,Host,Details,Appliance,MAC Address,IPv6 Address,,Mark,Comment
Mon Jul 21 08:16:55 BST 2025:5756255,10.4.4.20,OS Classification Score - -1,10.2.1.51,c8a362c85d6e,,,red,
Mon Jul 21 08:16:55 BST 2025:5756245,10.4.4.20,Suggested Vendor and Model - (none),10.2.1.51,c8a362c85d6e,,,red,
